DE genes that are commonly expressed during both chondrogenesis and neurogenesis ,,,
Commonly upregulated,,,Commonly downregulated
Nmnat2,,,Dll1
Lgals3,,,Pimreg
Pdk1,,,Hgf
Plekhb1,,,Mcm4
Kdm7a,,,Cdc6
Itih3,,,Peg12
Plekhb2,,,Prim1
Ngef,,,Ube2c
Kcnq3,,,Bard1
 March4,,,Knstrn
Bcar3,,,Asf1b
Mxi1,,,Cdc25c
Wwox,,,Mad2l1
Sdc3,,,Rfc5
Morn1,,,Hnrnpa2b1
Creg2,,,Cenpn
Ret,,,Aunip
Slc16a1,,,Mex3a
Ttc39b,,,Lrr1
Nt5e,,,H2afx
Slc22a4,,,Mxd3
Map6,,,Tk1
Usp53,,,Crabp1
Spsb1,,,Cpxm1
Cd200,,,Cdca7
Pfkp,,,Skp2
Ank,,,Igf2bp3
Aldh1l2,,,Nrarp
Gbe1,,,Cenpa
Slc7a5,,,Pclaf
Map6,,,Gmnn
Apobr,,,Cdk1
Zbtb16,,,Haspin
A2m,,,Fbxo5
Slc7a2,,,Cdkn2c
Slc41a1,,,Arhgap11a
Kif26b,,,Zfp618
Gpr146,,,Pabpc4l
Cfap157,,,Gen1
Fam167a,,,Ttk
Nipal3,,,Dhfr
Dbndd2,,,Birc5
Ampd3,,,Dach1
Tmie,,,Sema3a
Adora1,,,Flrt3
Appl2,,,Tyms
Snph,,,Shcbp1
Aqp4,,,Suv39h2
Gm2a,,,Sgo1
Apba1,,,Shmt1
Atp1b2,,,Smc2
Gfap,,,Rrm2
Als2cl,,,Ccne2
Nfasc,,,Ska1
Gfap,,,Meox2
Xpr1,,,Neil3
C3,,,Kif23
Adamtsl3,,,Ska3
Ltbp2,,,Mnd1
Hr,,,Adamts20
Col8a1,,,Ccna2
Cx3cl1,,,Arhgap28
Cpm,,,Top2a
Limch1,,,Tmem132c
Mgp,,,Atad5
Slc23a2,,,Pbk
Nedd9,,,Ska2
Lxn,,,Zwilch
Hipk1,,,Atad2
Hist1h1c,,,Atad2
Phkg1,,,Hist1h1b
1600014C10Rik,,,Pole
Adipor2,,,Adgrl2
Tmem132b,,,Iqgap3
Slc44a1,,,Eml4
Mfap3l,,,Tead2
Nebl,,,Cip2a
Fam107a,,,Ncapg2
Chchd10,,,Epb41
Slc38a2,,,Myh10
Ttc9,,,Grb10
Fndc1,,,Kpna2
Prnp,,,Cep192
Col4a3,,,Akap12
Cyb561,,,Nynrin
P4ha1,,,Igf2r
Spp1,,,Cd109
Higd1a,,,Vgll3
