target_id	ens_gene	ext_gene	qval	b	CE1A	CE1B	CE1C	CE2A	CE2B	CE2C	CE3A	CE3B	CE3C	Cluster name	Heatmap position	Trend	
ENSMUST00000196126.1	ENSMUSG00000029484	Anxa3	1.36E-06	1.03810823576951	191.625925516486	613.366758091162	110.068065310937	251.615061534295	668.955052342625	124.188906867269	157.675517396003	491.89393205376	111.863871123148	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000092143.11	ENSMUSG00000051236	Msrb3	4.77E-06	-0.801284554146353	50.503103891416	74.0413456400305	33.5961045151139	50.3611173004539	71.124182461723	33.8148084859479	39.1828902620795	71.806646668707	33.5858243567435	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000046663.7	ENSMUSG00000035107	Dcbld2	7.44E-06	-0.804984643161327	22.49267682794	38.5877428899229	14.8484792419753	23.5405448065139	31.9756277205317	14.9519234312898	17.8456975327825	25.123927310285	13.9830396108741	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000232766.1	ENSMUSG00000024048	Myl12a	8.31E-06	-0.808243599467159	1326.61870050737	2033.21190129474	900.454205269388	1403.98293725562	1947.3828529975	1033.05952489401	872.192480612565	2150.97009072787	872.389250512364	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000068439.12	ENSMUSG00000055044	Pdlim1	8.85E-06	-0.973051992637005	14.9135896247928	21.3595445241571	10.2353881859428	13.5103909101335	24.3184193652023	10.6922092591681	13.1840481965286	23.4868699502472	6.67589871986332	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000001513.7	ENSMUSG00000001473	Tubb6	9.30E-06	-0.819326208635573	77.8416230636097	106.889912107616	28.5398762113569	92.0098968999843	115.151064898683	37.5314780213369	56.5876447056333	84.8764110390213	35.223666470523	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000115026.7	ENSMUSG00000029761	Cald1	1.24E-05	-0.800381552488665	238.136073115504	301.032443045245	175.643220447194	235.828897964794	342.353964042144	163.331190278418	178.547727993271	363.251626171495	132.130196636139	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000071750.12	ENSMUSG00000032332	Col12a1	4.30E-05	-1.2237940418977	6.25417553926064	10.3558894864843	2.34471030388469	6.62430469243066	8.72608769350291	3.20878301292286	3.08341284347288	6.44069645617167	2.20719229411917	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000073957.7	ENSMUSG00000063531	Sema3e	5.39E-05	1.11268286359436	3.12527974723431	12.4736842505075	3.76518978665243	2.71627496404845	10.8346263484932	3.85144241125743	3.30253869291558	5.59971383042895	4.39006664634755	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000058755.4	ENSMUSG00000049791	Fzd4	8.39E-05	0.955204399282748	6.99184494902336	26.4502478449447	8.7443004142303	7.48211014746979	20.010397602191	9.07983953436137	7.66658919096719	12.7387220330664	8.09796237002251	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000198631.1	ENSMUSG00000029484	Anxa3	0.000152550890148	-1.72937332525741	5.20013653259674	11.3043708450463	1.38212945744718	4.67466305036857	11.9877647426847	1.27341991059899	2.12788851246642	3.92593169595866	1.80490168962551	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000112498.2	ENSMUSG00000024074	Crim1	0.000196461185491	0.808604958290838	33.0436923685896	79.2199606512529	38.907270751652	34.1884105777077	68.3071125397623	38.4604262988833	36.1634838217954	81.8007653754064	67.2943678609949	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000164342.9	ENSMUSG00000012296	Tjap1	0.000209643076464	-5.08688700026902	0.327009792524902	1.26361068768772	0	2.61E-05	1.51222488668965	0	0.180602066332069	1.78818212947841	0	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000030381.7	ENSMUSG00000028633	Ctps	0.000241183439978	-0.731804412141263	51.0503219478277	83.6966590389247	39.9602017229055	49.2126277813273	74.2065587109985	42.8553703031582	38.0735633583823	61.2357031135086	27.491949322449	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000201768.1	ENSMUSG00000106831	Ube2n-ps1	0.000244525654572	-4.88680082024645	5.24568463210176	9.37608039006671	0	2.6737627755097	12.82921522225	0	0	11.7149263530055	0	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000159414.1	ENSMUSG00000043336	Filip1l	0.00024934889378	-0.726349671643381	29.4880704570876	39.0083479191018	19.2393629318115	26.3482752404988	35.2132174668576	15.8182313873148	20.908353318387	32.5038504925229	18.4972421932087	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000036019.4	ENSMUSG00000034687	Fras1	0.000270324088352	-1.04957464501093	5.18146367993638	9.40533752899646	2.0555104204857	5.24886699451989	7.32905323948015	2.18617897636603	3.3794639845063	4.30181004828361	3.17946951125917	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000114294.7	ENSMUSG00000029802	Abcg2	0.00038303272347	-0.988994152021144	65.1256436086049	125.107845221936	29.3035083587278	64.2896346021881	98.1631642240943	33.1084360786177	41.2364920014251	61.1214071296466	44.1193314553464	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000002837.10	ENSMUSG00000063406	Tmed5	0.000495886088015	-0.724138361845674	58.5303362432194	99.6993095764163	33.1240066308498	53.8257861113287	85.4565910893079	39.1288240814243	44.2691770028337	71.6686195881415	59.9128814522446	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000025236.8	ENSMUSG00000024378	Stard4	0.00050121658707	-0.679542673448239	20.6184170640085	27.8736994638031	14.3002082583706	21.6873196469807	28.975299010097	13.8254505481649	17.7380221282817	25.3678951080787	15.0964946975947	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000056398.10	ENSMUSG00000044155	Lsm8	0.000562861533426	-0.695823002405725	117.70561501982	153.984324609444	78.6754573920249	123.371862083758	160.916034618328	100.271191018275	125.822311710109	203.273509683372	84.7816735477604	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000235069.1	ENSMUSG00000024097	Srsf7	0.000562861533426	-0.748571889905021	54.5270943769108	89.4933805619185	42.0852846248275	51.6544539150196	97.9281547928466	51.6401696057167	56.1595302242107	90.1812874768485	41.7404494643454	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000042850.8	ENSMUSG00000028369	Svep1	0.000592851284785	-0.85406964102597	6.10662257414816	13.2439041637656	4.45323440795656	5.88543962284485	9.99288617684526	5.10640922491956	6.83880483795348	6.73793003014696	3.39532744448059	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000219236.1	ENSMUSG00000090841	Myl6	0.000780395813291	-1.00284276074885	25.2897465981785	45.9360706249353	19.3159913337073	25.1390599365882	52.6665411934006	19.9383590563463	14.834942735252	35.2803931056804	11.5272836552252	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000051676.6	ENSMUSG00000046694	Tent5b	0.00079557545987	-2.41787369558283	0.445575368298357	1.09064589376043	0.064830199395647	0.303506575866498	0.767870316540213	0.053333267143068	0.151181511452739	0.5073854767977	0.060642921464047	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000236902.1	ENSMUSG00000025068	Gsto1	0.00089677255448	-0.688660699290054	108.315097197276	131.004069592255	73.2413807975087	95.4318383633485	134.809286184176	78.9262285290473	78.5863254091307	118.197882456795	49.4047677396891	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000030568.13	ENSMUSG00000028780	Sema3c	0.000934218301505	-1.02869148109607	2.69824058049928	4.54902150794929	1.63203810516689	1.88758488427064	3.84800308491204	1.32321218895892	1.31254542899167	5.19316900384172	2.14252821839348	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000137894.1	ENSMUSG00000043079	Synpo	0.000949717455154	1.51176154099465	1.22674439178558	3.27699851832856	2.931991823284	0.663924399237032	4.11748276159229	1.82714948306412	0.71521863321531	4.10300038702237	1.21970355098821	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000034713.8	ENSMUSG00000032193	Ldlr	0.000955896589769	-1.25456421405402	2.10573417714181	4.46481789332172	0.930434629010825	2.74084963802966	3.69834661849746	1.08399684449893	1.14658689287194	2.72027225611866	1.14352213390979	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000043937.8	ENSMUSG00000041084	Ostc	0.00097394155945	-0.612253363904774	425.361957001556	492.888740088138	277.91204896374	402.961922153144	448.08077654311	304.379829604355	324.444711139986	501.003481407748	226.440162116915	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000028721.7	ENSMUSG00000053675	Tgm5	0.001029451650172	-2.26236792940913	0.625328411790287	3.1875880360614	0.235489212372782	0.700850305257577	3.73560271592354	0.153760322884426	0.96408773414706	0.48221166669456	0.175056388500281	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000061673.8	ENSMUSG00000042284	Itga1	0.001104413391137	0.755715014104833	7.24938768713574	16.1681209167213	7.99039156074436	6.56794891835449	14.6212187714833	8.62589302461332	7.6017595875728	14.0898051636797	8.89070428155637	Cluster 1	1	"Peak at D2	 down at D6"	
ENSMUST00000068135.12	ENSMUSG00000031994	Adamts8	0.001229792510891	5.69287897712566	0	1.37567581199543	0.459955432365631	0	2.03680731208995	0.45179549293818	0	2.45788733012775	0	Cluster 1	1	"Peak at D2	 down at D6"	
