3	gene	108107280	108146146	ENSMUSG00000000001
X	gene	77837901	77853623	ENSMUSG00000000003
16	gene	18780447	18811987	ENSMUSG00000000028
7	gene	142575529	142578143	ENSMUSG00000000031
X	gene	161082525	161258213	ENSMUSG00000000037
11	gene	108343354	108414396	ENSMUSG00000000049
11	gene	121237253	121255856	ENSMUSG00000000056
6	gene	17281185	17289115	ENSMUSG00000000058
13	gene	5861482	5870394	ENSMUSG00000000078
4	gene	120405281	120530186	ENSMUSG00000000085
9	gene	57521274	57532426	ENSMUSG00000000088
11	gene	85832551	85841948	ENSMUSG00000000093
11	gene	85886422	85916097	ENSMUSG00000000094
Y	gene	2106015	2170409	ENSMUSG00000000103
11	gene	95568818	95587735	ENSMUSG00000000120
11	gene	103774150	103817957	ENSMUSG00000000125
11	gene	59306928	59333552	ENSMUSG00000000126
17	gene	63863062	64139496	ENSMUSG00000000127
7	gene	126101715	126200501	ENSMUSG00000000131
X	gene	7762560	7775202	ENSMUSG00000000134
11	gene	108920349	108950783	ENSMUSG00000000142
5	gene	140705011	140719379	ENSMUSG00000000148
5	gene	140758408	140830431	ENSMUSG00000000149
7	gene	143473736	143499334	ENSMUSG00000000154
16	gene	96422288	96443619	ENSMUSG00000000157
16	gene	96361668	96422121	ENSMUSG00000000159
9	gene	50617321	50625000	ENSMUSG00000000167
9	gene	50634633	50659780	ENSMUSG00000000168
9	gene	50596357	50603812	ENSMUSG00000000171
6	gene	127072902	127081408	ENSMUSG00000000182
6	gene	127015586	127028187	ENSMUSG00000000183
6	gene	127125162	127152193	ENSMUSG00000000184
2	gene	31152316	31218775	ENSMUSG00000000194
14	gene	123276634	123627144	ENSMUSG00000000197
11	gene	114791217	114795945	ENSMUSG00000000202
11	gene	83175186	83190216	ENSMUSG00000000204
7	gene	142892752	142931128	ENSMUSG00000000214
7	gene	142678656	142743381	ENSMUSG00000000215
7	gene	121734479	121768475	ENSMUSG00000000216
X	gene	134404551	134456573	ENSMUSG00000000223
7	gene	143005046	143019644	ENSMUSG00000000244
2	gene	38339281	38369733	ENSMUSG00000000247
6	gene	128934381	128984707	ENSMUSG00000000248
13	gene	45507444	45553800	ENSMUSG00000000253
11	gene	55514238	55608198	ENSMUSG00000000263
X	gene	140664599	140767715	ENSMUSG00000000266
11	gene	88999376	89020293	ENSMUSG00000000275
11	gene	89035179	89066850	ENSMUSG00000000276
11	gene	88924020	88955465	ENSMUSG00000000278
11	gene	74830920	74845725	ENSMUSG00000000282
10	gene	77530252	77565708	ENSMUSG00000000290
10	gene	31313383	31328204	ENSMUSG00000000295
10	gene	31332376	31445958	ENSMUSG00000000296
11	gene	59970614	60046489	ENSMUSG00000000301
8	gene	106603351	106670246	ENSMUSG00000000303
2	gene	179442431	179899373	ENSMUSG00000000305
2	gene	121357714	121363737	ENSMUSG00000000308
11	gene	70224128	70229798	ENSMUSG00000000317
11	gene	70156197	70170834	ENSMUSG00000000318
11	gene	70241457	70255353	ENSMUSG00000000320
16	gene	18348182	18407076	ENSMUSG00000000325
16	gene	18406886	18426852	ENSMUSG00000000326
3	gene	116488963	116508208	ENSMUSG00000000339
3	gene	116513070	116549981	ENSMUSG00000000340
15	gene	100615349	100620761	ENSMUSG00000000346
X	gene	38600578	38613426	ENSMUSG00000000355
2	gene	152626951	152635198	ENSMUSG00000000359
14	gene	56402581	56525032	ENSMUSG00000000365
10	gene	78186725	78244641	ENSMUSG00000000374
11	gene	6546887	6596744	ENSMUSG00000000378
11	gene	6635482	6638637	ENSMUSG00000000381
11	gene	6615598	6626067	ENSMUSG00000000384
16	gene	97564682	97611195	ENSMUSG00000000385
16	gene	97447035	97462907	ENSMUSG00000000386
2	gene	62500943	62574075	ENSMUSG00000000392
2	gene	62474530	62483650	ENSMUSG00000000394
6	gene	126821721	126849136	ENSMUSG00000000399
X	gene	166523007	166585720	ENSMUSG00000000402
4	gene	129548344	129573641	ENSMUSG00000000409
4	gene	129489014	129491022	ENSMUSG00000000411
6	gene	18366478	18514843	ENSMUSG00000000416
18	gene	24205344	24286818	ENSMUSG00000000420
10	gene	107482908	107486134	ENSMUSG00000000435
6	gene	115601902	115622624	ENSMUSG00000000439
6	gene	115360951	115490399	ENSMUSG00000000440
6	gene	115618067	115676635	ENSMUSG00000000441
7	gene	127214447	127233130	ENSMUSG00000000486
15	gene	79995874	80014977	ENSMUSG00000000489
15	gene	101128522	101145336	ENSMUSG00000000530
15	gene	101224188	101232756	ENSMUSG00000000531
15	gene	101174067	101213684	ENSMUSG00000000532
11	gene	60226714	60352905	ENSMUSG00000000538
1	gene	166130238	166166510	ENSMUSG00000000544
15	gene	103313895	103340093	ENSMUSG00000000552
15	gene	103344286	103366763	ENSMUSG00000000555
5	gene	70957597	71095849	ENSMUSG00000000560
3	gene	105959369	105970037	ENSMUSG00000000561
3	gene	105870858	105908926	ENSMUSG00000000562
3	gene	105942698	105960099	ENSMUSG00000000563
11	gene	112782224	112787760	ENSMUSG00000000567
5	gene	99955935	99978938	ENSMUSG00000000568
17	gene	6601671	6609774	ENSMUSG00000000579
11	gene	17257579	17269176	ENSMUSG00000000581
11	gene	55098115	55113029	ENSMUSG00000000594
5	gene	3803184	3845564	ENSMUSG00000000600
7	gene	7282309	7300851	ENSMUSG00000000605
14	gene	51410820	51420721	ENSMUSG00000000606
11	gene	50850685	50866208	ENSMUSG00000000617
6	gene	82911885	82939769	ENSMUSG00000000627
6	gene	82725025	82774454	ENSMUSG00000000628
11	gene	77763246	77865980	ENSMUSG00000000631
11	gene	77930800	77979048	ENSMUSG00000000632
17	gene	83831156	83847963	ENSMUSG00000000673
4	gene	134082448	134095082	ENSMUSG00000000682
11	gene	77515121	77538607	ENSMUSG00000000686
11	gene	96292476	96301569	ENSMUSG00000000690
6	gene	83034173	83052562	ENSMUSG00000000693
12	gene	105176344	105181145	ENSMUSG00000000701
13	gene	23456992	23465901	ENSMUSG00000000706
17	gene	53566861	53672720	ENSMUSG00000000708
10	gene	128677175	128696264	ENSMUSG00000000711
11	gene	77718615	77725283	ENSMUSG00000000724
10	gene	78041947	78063622	ENSMUSG00000000730
10	gene	78030022	78043610	ENSMUSG00000000731
10	gene	78069302	78083913	ENSMUSG00000000732
8	gene	123062942	123097760	ENSMUSG00000000738
8	gene	123140192	123158315	ENSMUSG00000000739
8	gene	123102350	123105244	ENSMUSG00000000740
8	gene	123204264	123212763	ENSMUSG00000000743
11	gene	75298166	75348324	ENSMUSG00000000751
11	gene	75409769	75422701	ENSMUSG00000000753
8	gene	12614277	12672248	ENSMUSG00000000759
10	gene	6758506	7038198	ENSMUSG00000000766
14	gene	70438757	70443447	ENSMUSG00000000776
11	gene	52252371	52283331	ENSMUSG00000000782
X	gene	13280970	13294052	ENSMUSG00000000787
8	gene	70808449	70821424	ENSMUSG00000000791
8	gene	70882889	70892757	ENSMUSG00000000792
3	gene	89520164	89675132	ENSMUSG00000000794
11	gene	84984442	85140161	ENSMUSG00000000804
11	gene	84957786	84966044	ENSMUSG00000000805
6	gene	89643988	89675529	ENSMUSG00000000811
1	gene	161780689	161788495	ENSMUSG00000000817
2	gene	181582103	181592803	ENSMUSG00000000823
2	gene	181520485	181555133	ENSMUSG00000000826
2	gene	181497142	181517966	ENSMUSG00000000827
X	gene	68678541	68717963	ENSMUSG00000000838
11	gene	24078056	24174123	ENSMUSG00000000861
11	gene	53602982	53618669	ENSMUSG00000000869
2	gene	154585758	154603708	ENSMUSG00000000876
X	gene	100767722	100818410	ENSMUSG00000000881
16	gene	18498713	18566679	ENSMUSG00000000884
2	gene	27165233	27183200	ENSMUSG00000000889
10	gene	75923222	75936496	ENSMUSG00000000901
10	gene	75896769	75921617	ENSMUSG00000000902
10	gene	75943057	75949657	ENSMUSG00000000903
