Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,,,
9,31058726,31059227,chr9-31058726-31059227,Stable,Closing,Closing,23,St14,30175,,,,,,,,,,
15,51871390,51871891,chr15-51871390-51871891,Stable,Closing,Closing,23,Eif3h,-84832,,,,,,,,,,
15,31428514,31429015,chr15-31428514-31429015,Stable,Closing,Closing,23,Dap,-204200,,,,,,,,,,
4,116672682,116673183,chr4-116672682-116673183,Stable,Closing,Closing,23,Nasp,-71630,,,Mutyh,134540,,,,,,
12,95678455,95678956,chr12-95678455-95678956,Stable,Closing,Closing,23,Flrt2,13270,,,,,,,,,,
10,72634057,72634558,chr10-72634057-72634558,Stable,Closing,Closing,23,Zwint,20287,,,,,,,,,,
7,112012617,112013118,chr7-112012617-112013118,Stable,Closing,Closing,23,Mical2,212738,,,,,,,,,,
3,122682248,122682749,chr3-122682248-122682749,Stable,Closing,Closing,23,Pde5a,46198,,,,,,,,,,
9,104131317,104131818,chr9-104131317-104131818,Stable,Closing,Closing,23,Ackr4,-47160,,,,,,,,,,
5,147063377,147063878,chr5-147063377-147063878,Stable,Closing,Closing,23,Rpl21,-230487,,,,,,,,,,
15,97041984,97042485,chr15-97041984-97042485,Stable,Closing,Closing,23,Slc38a4,-47164,,,,,,,,,,
5,64062865,64063366,chr5-64062865-64063366,Stable,Closing,Closing,23,Tbc1d1,92939,,,,,,,,,,
1,170008611,170009112,chr1-170008611-170009112,Stable,Closing,Closing,23,Ddr2,-36304,,,,,,,,,,
9,30843933,30844434,chr9-30843933-30844434,Stable,Closing,Closing,23,St14,244968,,,,,,,,,,
7,120963073,120963574,chr7-120963073-120963574,Stable,Closing,Closing,23,Polr3e,-45329,,,,,,,,,,
16,62936378,62936879,chr16-62936378-62936879,Stable,Closing,Closing,23,Pros1,-82071,,,,,,,,,,
5,147057549,147058050,chr5-147057549-147058050,Stable,Closing,Closing,23,Rpl21,-224659,,,,,,,,,,
10,72604400,72604901,chr10-72604400-72604901,Stable,Closing,Closing,23,Zwint,49944,,,,,,,,,,
2,121628170,121628671,chr2-121628170-121628671,Stable,Closing,Closing,23,Serf2,-178975,,,,,,,,,,
11,51484884,51485694,chr11-51484884-51485694,Stable,Closing,Closing,23,Hnrnpab,114406,,,,,,,,,,
5,64219629,64220130,chr5-64219629-64220130,Stable,Closing,Closing,23,Tbc1d1,-63324,,,,,,,,,,
7,98672178,98672679,chr7-98672178-98672679,Stable,Closing,Closing,23,Lrrc32,-182895,,,,,,,,,,
8,116892641,116893142,chr8-116892641-116893142,Stable,Closing,Closing,23,Cmc2,-3956,,,Cenpn,28588,,,,,,
9,8156981,8157482,chr9-8156981-8157482,Stable,Closing,Closing,23,Yap1,-224982,,,,,,,,,,
13,58257300,58257801,chr13-58257300-58257801,Stable,Closing,Closing,23,2210016F16Rik,122016,,,,,,,,,,
10,31380324,31380825,chr10-31380324-31380825,Stable,Closing,Closing,23,Tpd52l1,-47948,,,,,,,,,,
13,112346727,112347228,chr13-112346727-112347228,Stable,Closing,Closing,23,Il6st,116842,,,,,,,,,,
5,149392045,149392546,chr5-149392045-149392546,Stable,Closing,Closing,23,Medag,19203,,,,,,,,,,
8,80890860,80891361,chr8-80890860-80891361,Stable,Closing,Closing,23,Gab1,-126422,,,,,,,,,,
16,46067951,46068452,chr16-46067951-46068452,Stable,Closing,Closing,23,Gm4737,84533,,,,,,,,,,
2,36148854,36149355,chr2-36148854-36149355,Stable,Closing,Closing,23,Lhx6,-66901,,,Ptgs1,81071,,,,,,
6,66478263,66478764,chr6-66478263-66478764,Stable,Closing,Closing,23,Mad2l1,56626,,,,,,,,,,
4,63929418,63929919,chr4-63929418-63929919,Stable,Closing,Closing,23,Tnc,29866,,,,,,,,,,
1,71752239,71752740,chr1-71752239-71752740,Stable,Closing,Closing,23,Fn1,-166719,,,,,,,,,,
7,79173804,79174305,chr7-79173804-79174305,Stable,Closing,Closing,23,Fanci,217624,,,,,,,,,,
10,61286263,61286764,chr10-61286263-61286764,Stable,Closing,Closing,23,Adamts14,-89151,,,,,,,,,,
15,68401058,68402041,chr15-68401058-68402041,Stable,Closing,Closing,23,Gm10240,-91239,,,,,,,,,,
11,59600815,59601316,chr11-59600815-59601316,Stable,Closing,Closing,23,Mprip,59989,,,,,,,,,,
18,69915859,69916360,chr18-69915859-69916360,Stable,Closing,Closing,23,Ccdc68,9066,,,,,,,,,,
14,57975611,57976112,chr14-57975611-57976112,Stable,Closing,Closing,23,Micu2,-59350,,,,,,,,,,
10,127970379,127970880,chr10-127970379-127970880,Stable,Closing,Closing,23,Prim1,44288,,,Rbms2,160678,,,,,,
8,123187934,123188435,chr8-123187934-123188435,Stable,Closing,Closing,23,Fanca,79865,,,,,,,,,,
9,104194414,104194915,chr9-104194414-104194915,Stable,Closing,Closing,23,Ackr4,-110257,,,,,,,,,,
6,33042849,33043350,chr6-33042849-33043350,Stable,Closing,Closing,23,Exoc4,205735,,,,,,,,,,
9,123137183,123137684,chr9-123137183-123137684,Stable,Closing,Closing,23,Kif15,-186137,,,,,,,,,,
2,102956499,102957000,chr2-102956499-102957000,Stable,Closing,Closing,23,Cd44,-145358,,,,,,,,,,
4,129954925,129955426,chr4-129954925-129955426,Stable,Closing,Closing,23,Tinagl1,209028,,,,,,,,,,
15,85179431,85179932,chr15-85179431-85179932,Stable,Closing,Closing,23,Fbln1,26017,,,,,,,,,,
14,43990083,43990584,chr14-43990083-43990584,Stable,Closing,Closing,23,Gm8113,-64693,,,,,,,,,,
1,169526227,169526728,chr1-169526227-169526728,Stable,Closing,Closing,23,Nuf2,-28293,,,,,,,,,,
6,16891829,16892330,chr6-16891829-16892330,Stable,Closing,Closing,23,Tes,172819,,,,,,,,,,
10,119943878,119944379,chr10-119943878-119944379,Stable,Closing,Closing,23,Helb,139229,,,,,,,,,,
12,24844157,24844658,chr12-24844157-24844658,Stable,Closing,Closing,23,Klf11,-192883,,,,,,,,,,
2,110668294,110668872,chr2-110668294-110668872,Stable,Closing,Closing,23,Muc15,52468,,,Slc5a12,-70996,,,,,,
13,60897341,60897842,chr13-60897341-60897842,Stable,Closing,Closing,23,Ctla2a,36313,,,,,,,,,,
3,59468903,59469404,chr3-59468903-59469404,Stable,Closing,Closing,23,Igsf10,-152168,,,,,,,,,,
13,6666824,6667325,chr13-6666824-6667325,Stable,Closing,Closing,23,Pitrm1,-118675,,,,,,,,,,
13,53258762,53259263,chr13-53258762-53259263,Stable,Closing,Closing,23,Ror2,-149450,,,,,,,,,,
2,126682937,126683438,chr2-126682937-126683438,Stable,Closing,Closing,23,Sppl2a,206953,,,,,,,,,,
13,6492952,6493453,chr13-6492952-6493453,Stable,Closing,Closing,23,Pitrm1,54696,,,,,,,,,,
11,102883309,102883810,chr11-102883309-102883810,Stable,Stable,Closing,26,Kif18b,21719,,,,,,,,,,
2,137019869,137020370,chr2-137019869-137020370,Stable,Closing,Closing,23,AL731706.1,-138598,,,,,,,,,,
19,47443896,47444397,chr19-47443896-47444397,Stable,Closing,Closing,23,Sh3pxd2a,-183722,,,,,,,,,,
9,108949547,108950192,chr9-108949547-108950192,Stable,Closing,Closing,23,Col7a1,3394,,,,,,,,,,
10,77240608,77241109,chr10-77240608-77241109,Stable,Closing,Closing,23,Col18a1,-188430,,,,,,,,,,
3,9767370,9767871,chr3-9767370-9767871,Stable,Closing,Closing,23,Fabp5,244677,,,,,,,,,,
10,76895665,76896166,chr10-76895665-76896166,Stable,Closing,Closing,23,Col18a1,156012,,,,,,,,,,
1,191042499,191043000,chr1-191042499-191043000,Stable,Closing,Closing,23,Nsl1,20012,,,,,,,,,,
1,170580790,170581291,chr1-170580790-170581291,Stable,Closing,Closing,23,Olfml2b,63241,,,,,,,,,,
4,132608136,132608637,chr4-132608136-132608637,Stable,Closing,Closing,23,Rpa2,159695,,,,,,,,,,
2,84402724,84403225,chr2-84402724-84403225,Stable,Closing,Closing,23,Tfpi,29630,,,,,,,,,,
15,55472516,55473017,chr15-55472516-55473017,Stable,Closing,Closing,23,Mtbp,84391,,,,,,,,,,
9,8142212,8142713,chr9-8142212-8142713,Stable,Closing,Closing,23,Yap1,-210213,,,,,,,,,,
1,169685081,169685582,chr1-169685081-169685582,Stable,Closing,Closing,23,Nuf2,-187147,,,,,,,,,,
10,4061439,4061940,chr10-4061439-4061940,Stable,Closing,Closing,23,Akap12,204440,,,,,,,,,,
3,99205189,99205690,chr3-99205189-99205690,Stable,Closing,Closing,23,Tbx15,34691,,,,,,,,,,
15,31168066,31168567,chr15-31168066-31168567,Stable,Closing,Closing,23,Dap,55747,,,,,,,,,,
4,89177864,89178365,chr4-89177864-89178365,Stable,Closing,Closing,23,Cdkn2a,96106,,,Cdkn2b,127934,,,,,,
2,36234880,36235381,chr2-36234880-36235381,Stable,Stable,Closing,26,Ptgs1,-4454,,,Lhx6,-152927,,,,,,
4,12007968,12008469,chr4-12007968-12008469,Stable,Closing,Closing,23,Cdh17,-249821,,,,,,,,,,
1,62976707,62977208,chr1-62976707-62977208,Stable,Closing,Closing,23,Eef1b2,199617,,,,,,,,,,
1,90690745,90691246,chr1-90690745-90691246,Stable,Closing,Closing,23,Col6a3,74677,,,,,,,,,,
7,120962384,120962885,chr7-120962384-120962885,Stable,Closing,Closing,23,Polr3e,-44640,,,,,,,,,,
1,90904071,90904572,chr1-90904071-90904572,Stable,Closing,Closing,23,Col6a3,-138148,,,,,,,,,,
13,60936481,60936982,chr13-60936481-60936982,Stable,Closing,Closing,23,Ctla2a,-2326,,,,,,,,,,
1,107505886,107506387,chr1-107505886-107506387,Stable,Closing,Closing,23,Serpinb7,-106231,,,,,,,,,,
7,112353117,112353618,chr7-112353117-112353618,Stable,Closing,Closing,23,Mical2,-127261,,,,,,,,,,
12,112990977,112991478,chr12-112990977-112991478,Stable,Closing,Closing,23,Tedc1,164943,,,Cdca4,-170748,Ahnak2,-218783,,,,
5,16419968,16420469,chr5-16419968-16420469,Stable,Closing,Closing,23,Hgf,133026,,,,,,,,,,
6,33347362,33347863,chr6-33347362-33347863,Stable,Closing,Closing,23,Exoc4,-98277,,,,,,,,,,
18,66597566,66598067,chr18-66597566-66598067,Stable,Closing,Closing,23,Pmaip1,-139033,,,,,,,,,,
15,96802387,96802888,chr15-96802387-96802888,Stable,Closing,Closing,23,Slc38a4,191932,,,,,,,,,,
1,163563756,163564257,chr1-163563756-163564257,Stable,Closing,Closing,23,Kifap3,215326,,,,,,,,,,
5,21506876,21507377,chr5-21506876-21507377,Stable,Closing,Closing,23,Lrrc17,36182,,,,,,,,,,
10,95465603,95466104,chr10-95465603-95466104,Stable,Closing,Closing,23,Ube2n,49041,,,,,,,,,,
10,90973412,90974035,chr10-90973412-90974035,Stable,Closing,Closing,23,Apaf1,15276,,,,,,,,,,
7,112462844,112463345,chr7-112462844-112463345,Stable,Closing,Closing,23,Mical2,-236988,,,,,,,,,,
1,178899963,178900595,chr1-178899963-178900595,Stable,Closing,Closing,23,Smyd3,51365,,,,,,,,,,
14,55255916,55256417,chr14-55255916-55256417,Stable,Closing,Closing,23,Dhrs4,222341,,,,,,,,,,
6,88774043,88774544,chr6-88774043-88774544,Stable,Closing,Closing,23,Mcm2,108930,,,,,,,,,,
