Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene
9,31058726,31059227,chr9-31058726-31059227,Stable,Closing,Closing,23,Adamts8,-116164,,,,,,
18,58230368,58230869,chr18-58230368-58230869,Stable,Closing,Closing,23,Fbn2,-221745,,,,,,
12,16866376,16866877,chr12-16866376-16866877,Stable,Closing,Closing,23,Rock2,28018,,,E2f6,-55413,,
7,112012617,112013118,chr7-112012617-112013118,Stable,Closing,Closing,23,Mical2,212738,,,,,,
19,40429535,40430036,chr19-40429535-40430036,Stable,Closing,Closing,23,Pdlim1,-208362,,,,,,
3,126359714,126360215,chr3-126359714-126360215,Stable,Closing,Closing,23,Arsj,3469,,,,,,
11,45974328,45974829,chr11-45974328-45974829,Stable,Closing,Closing,23,Adam19,81163,,,,,,
18,67556755,67557256,chr18-67556755-67557256,Stable,Closing,Closing,23,Tubb6,-166038,,,,,,
14,21064213,21064714,chr14-21064213-21064714,Stable,Closing,Closing,23,Plau,-227553,,,,,,
1,170008611,170009112,chr1-170008611-170009112,Stable,Closing,Closing,23,Hsd17b7,-59076,,,,,,
9,30843933,30844434,chr9-30843933-30844434,Stable,Closing,Closing,23,Adamts8,98128,,,,,,
2,121628170,121628671,chr2-121628170-121628671,Stable,Closing,Closing,23,Pdia3,-214395,,,,,,
15,43047136,43047637,chr15-43047136-43047637,Stable,Closing,Closing,23,Rspo2,-26342,,,,,,
11,46028134,46028635,chr11-46028134-46028635,Stable,Closing,Closing,23,Adam19,27357,,,,,,
12,71927027,71927528,chr12-71927027-71927528,Stable,Closing,Closing,23,L3hypdh,145900,,,,,,
7,89156745,89157246,chr7-89156745-89157246,Stable,Closing,Closing,23,Fzd4,247109,,,,,,
16,37636099,37636600,chr16-37636099-37636600,Stable,Closing,Closing,23,Fstl1,140273,,,,,,
1,71752239,71752740,chr1-71752239-71752740,Stable,Closing,Closing,23,Fn1,-166719,,,,,,
9,92128380,92128881,chr9-92128380-92128881,Stable,Closing,Closing,23,Plscr2,146721,,,,,,
9,30731536,30732037,chr9-30731536-30732037,Stable,Closing,Closing,23,Adamts8,210525,,,,,,
6,82510860,82511361,chr6-82510860-82511361,Stable,Closing,Closing,23,Pole4,107631,,,,,,
1,150027176,150027677,chr1-150027176-150027677,Stable,Closing,Closing,23,Ptgs2,72354,,,,,,
9,30834476,30834977,chr9-30834476-30834977,Stable,Closing,Closing,23,Adamts8,107585,,,,,,
