Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene
10,127970343,127970844,chr10-127970343-127970844,Stable,Closing,Closing,23,Prim1,44324,,,,,,
17,71153284,71153785,chr17-71153284-71153785,Stable,Closing,Closing,23,Myl12a,-159628,,,,,,
6,4813123,4813624,chr6-4813123-4813624,Stable,Stable,Closing,26,Peg10,-65817,,,,,,
5,16764884,16765385,chr5-16764884-16765385,Stable,Stable,Closing,26,Hgf,-211389,,,,,,
11,90291255,90291851,chr11-90291255-90291851,Stable,Stable,Closing,26,Mmd,-41799,,,,,,
4,109647251,109647752,chr4-109647251-109647752,Stable,Closing,Closing,23,Cdkn2c,13124,,,,,,
1,189576411,189576912,chr1-189576411-189576912,Stable,Closing,Closing,23,Cenpf,63694,,,,,,
13,103963095,103963596,chr13-103963095-103963596,Stable,Closing,Closing,23,Erbin,-144308,,,,,,
5,21366363,21366864,chr5-21366363-21366864,Stable,Closing,Closing,23,Lrrc17,176695,,,,,,
14,67955202,67955703,chr14-67955202-67955703,Stable,Closing,Closing,23,Nefl,128160,,,,,,
5,13263071,13263572,chr5-13263071-13263572,Closing,Stable,Closing,17,Sema3a,-137657,,,,,,
13,51289550,51290215,chr13-51289550-51290215,Stable,Closing,Closing,23,Shc3,140826,,,,,,
10,88046087,88046588,chr10-88046087-88046588,Stable,Closing,Closing,23,Parpbp,44844,,,,,,
15,85188200,85188701,chr15-85188200-85188701,Stable,Closing,Closing,23,Fbln1,17248,,,,,,
15,8955555,8956056,chr15-8955555-8956056,Stable,Closing,Closing,23,Skp2,155929,,,,,,
14,97795279,97795780,chr14-97795279-97795780,Stable,Stable,Closing,26,Dach1,-8426,,,,,,
8,18679007,18679508,chr8-18679007-18679508,Stable,Closing,Closing,23,Angpt2,10755,,,,,,
5,8575193,8575694,chr5-8575193-8575694,Stable,Closing,Closing,23,Dbf4,-178220,,,,,,
15,85179465,85179966,chr15-85179465-85179966,Stable,Stable,Closing,26,Fbln1,25983,,,,,,
8,18671397,18671898,chr8-18671397-18671898,Stable,Closing,Closing,23,Angpt2,18365,,,,,,
15,97041963,97042464,chr15-97041963-97042464,Stable,Closing,Closing,23,Slc38a4,-47143,,,,,,
1,31058739,31059400,chr1-31058739-31059400,Stable,Stable,Closing,26,Ptp4a1,-118437,,,,,,
11,106845984,106846485,chr11-106845984-106846485,Stable,Closing,Closing,23,Kpna2,142144,,,,,,
3,82250625,82251126,chr3-82250625-82251126,Stable,Closing,Closing,23,Gucy1a1,-158198,,,Gucy1b1,-218619,,
3,20323035,20323536,chr3-20323035-20323536,Stable,Closing,Closing,23,Cpb1,-74771,,,,,,
6,66478235,66478736,chr6-66478235-66478736,Stable,Stable,Closing,26,Mad2l1,56654,,,,,,
10,30031939,30032440,chr10-30031939-30032440,Stable,Closing,Closing,23,Cenpw,162129,,,,,,
3,20243542,20244043,chr3-20243542-20244043,Stable,Closing,Closing,23,Cpb1,4221,,,,,,
5,21543264,21543765,chr5-21543264-21543765,Stable,Stable,Closing,26,Lrrc17,0,,,,,,
8,75281826,75282327,chr8-75281826-75282327,Stable,Closing,Closing,23,Mcm5,-172257,,,,,,
17,83288041,83288542,chr17-83288041-83288542,Stable,Stable,Closing,26,Eml4,62389,,,,,,
1,128405059,128405560,chr1-128405059-128405560,Stable,Stable,Closing,26,Mcm6,-73469,,,,,,
10,30095603,30096104,chr10-30095603-30096104,Stable,Closing,Closing,23,Cenpw,98465,,,,,,
7,135860895,135861658,chr7-135860895-135861658,Stable,Closing,Closing,23,Mki67,-171111,,,,,,
3,49856733,49857234,chr3-49856733-49857234,Stable,Stable,Closing,26,Pcdh18,-113437,,,,,,
1,176053483,176053984,chr1-176053483-176053984,Stable,Stable,Closing,26,Exo1,-172902,,,,,,
1,156230650,156231151,chr1-156230650-156231151,Stable,Stable,Closing,26,Fam163a,-154684,,,,,,
2,150657290,150657791,chr2-150657290-150657791,Stable,Stable,Closing,26,Gins1,247609,,,,,,
17,68071447,68071948,chr17-68071447-68071948,Stable,Closing,Closing,23,Arhgap28,-228734,,,,,,
15,94294022,94294523,chr15-94294022-94294523,Stable,Stable,Closing,26,Adamts20,-23859,,,,,,
7,38111912,38112413,chr7-38111912-38112413,Stable,Closing,Closing,23,Ccne1,-13928,,,,,,
