Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,,,,,,,,,,,,,,,,,
2,75816618,75817119,chr2-75816618-75817119,Stable,Closing,Closing,23,Ttc30b,118730,,,,,,,,,,,,,,,,,,,,,,,,,,
10,107344272,107344773,chr10-107344272-107344773,Stable,Closing,Closing,23,Lin7a,-72586,,,,,,,,,,,,,,,,,,,,,,,,,,
14,123304282,123304783,chr14-123304282-123304783,Stable,Closing,Closing,23,Nalcn,-27648,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31428514,31429015,chr15-31428514-31429015,Stable,Closing,Closing,23,Ropn1l,12196,,, March6,26876,,,,,,,,,,,,,,,,,,,,,,
17,10479225,10479726,chr17-10479225-10479726,Stable,Closing,Closing,23,Pacrg,-76213,,,,,,,,,,,,,,,,,,,,,,,,,,
7,62204917,62205552,chr7-62204917-62205552,Stable,Closing,Closing,23,Mkrn3,212041,,,,,,,,,,,,,,,,,,,,,,,,,,
16,44648498,44648999,chr16-44648498-44648999,Stable,Closing,Closing,23,Boc,-163449,,,,,,,,,,,,,,,,,,,,,,,,,,
9,123564761,123565262,chr9-123564761-123565262,Stable,Closing,Closing,23,Fyco1,224238,,,,,,,,,,,,,,,,,,,,,,,,,,
13,37011752,37012253,chr13-37011752-37012253,Stable,Closing,Closing,23,F13a1,-144574,,,,,,,,,,,,,,,,,,,,,,,,,,
13,76927713,76928214,chr13-76927713-76928214,Stable,Closing,Closing,23,2210408I21Rik,207326,,,,,,,,,,,,,,,,,,,,,,,,,,
9,75341182,75341683,chr9-75341182-75341683,Stable,Closing,Closing,23,Tmod2,223938,,,,,,,,,,,,,,,,,,,,,,,,,,
11,45974328,45974829,chr11-45974328-45974829,Stable,Closing,Closing,23,Cyfip2,219021,,,,,,,,,,,,,,,,,,,,,,,,,,
13,99366666,99367167,chr13-99366666-99367167,Stable,Closing,Closing,23,Map1b,54279,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14271214,14271715,chr12-14271214-14271715,Stable,Closing,Closing,23,Lratd1,-124384,,,,,,,,,,,,,,,,,,,,,,,,,,
1,170008611,170009112,chr1-170008611-170009112,Stable,Closing,Closing,23,Ccdc190,-79963,,,,,,,,,,,,,,,,,,,,,,,,,,
7,120963073,120963574,chr7-120963073-120963574,Stable,Closing,Closing,23,Polr3e,-45329,,,Vwa3a,-223755,,,,,,,,,,,,,,,,,,,,,,
3,5275287,5275788,chr3-5275287-5275788,Stable,Closing,Closing,23,Zfhx4,-56761,,,,,,,,,,,,,,,,,,,,,,,,,,
7,110944345,110944846,chr7-110944345-110944846,Stable,Closing,Closing,23,Ampd3,-176139,,,,,,,,,,,,,,,,,,,,,,,,,,
9,101801809,101802310,chr9-101801809-101802310,Stable,Closing,Closing,23,Ephb1,119818,,,,,,,,,,,,,,,,,,,,,,,,,,
8,116892641,116893142,chr8-116892641-116893142,Stable,Closing,Closing,23,1700030J22Rik,76452,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44895263,44895764,chr15-44895263-44895764,Stable,Closing,Closing,23,Kcnv1,210520,,,Sybu,-223407,,,,,,,,,,,,,,,,,,,,,,
1,136665129,136665630,chr1-136665129-136665630,Stable,Closing,Closing,23,Nr5a2,176941,,,,,,,,,,,,,,,,,,,,,,,,,,
2,66436291,66436792,chr2-66436291-66436792,Stable,Closing,Closing,23,Scn1a,-165513,,,,,,,,,,,,,,,,,,,,,,,,,,
10,43003080,43003581,chr10-43003080-43003581,Stable,Closing,Closing,23,Sobp,-580,,,Scml4,-142710,,,,,,,,,,,,,,,,,,,,,,
9,8156981,8157482,chr9-8156981-8157482,Stable,Closing,Closing,23,Cfap300,-135309,,,,,,,,,,,,,,,,,,,,,,,,,,
13,58257300,58257801,chr13-58257300-58257801,Stable,Closing,Closing,23,Kif27,29701,,,,,,,,,,,,,,,,,,,,,,,,,,
3,123567329,123567830,chr3-123567329-123567830,Stable,Closing,Closing,23,Ndst3,-41163,,,,,,,,,,,,,,,,,,,,,,,,,,
5,116342956,116343457,chr5-116342956-116343457,Stable,Closing,Closing,23,Ccdc60,-218315,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35173715,35174216,chr4-35173715-35174216,Stable,Closing,Closing,23,C9orf72,17069,,,Mob3b,-224641,,,,,,,,,,,,,,,,,,,,,,
13,70779109,70779610,chr13-70779109-70779610,Stable,Closing,Closing,23,Adamts16,-51307,,,,,,,,,,,,,,,,,,,,,,,,,,
11,46028134,46028635,chr11-46028134-46028635,Stable,Closing,Closing,23,Cyfip2,165215,,,,,,,,,,,,,,,,,,,,,,,,,,
9,105814432,105814933,chr9-105814432-105814933,Stable,Closing,Closing,23,Col6a6,-126623,,,,,,,,,,,,,,,,,,,,,,,,,,
11,80589445,80589946,chr11-80589445-80589946,Stable,Closing,Closing,23,Cdk5r1,-112422,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28485542,28486043,chr6-28485542-28486043,Stable,Closing,Closing,23,Lrrc4,175788,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36148854,36149355,chr2-36148854-36149355,Stable,Closing,Closing,23,Morn5,-99396,,,,,,,,,,,,,,,,,,,,,,,,,,
12,70126562,70127063,chr12-70126562-70127063,Stable,Closing,Closing,23,Pygl,63748,,,Trim9,117470,Atl1,-233948,,,,,,,,,,,,,,,,,,,,
6,65795769,65796270,chr6-65795769-65796270,Stable,Closing,Closing,23,Ndnf,-124179,,,,,,,,,,,,,,,,,,,,,,,,,,
7,79173804,79174305,chr7-79173804-79174305,Stable,Closing,Closing,23,Rlbp1,200565,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5287901,5288402,chr6-5287901-5288402,Stable,Closing,Closing,23,Asb4,94984,,,,,,,,,,,,,,,,,,,,,,,,,,
6,93648509,93649010,chr6-93648509-93649010,Stable,Closing,Closing,23,Magi1,26445,,,,,,,,,,,,,,,,,,,,,,,,,,
6,76939066,76939567,chr6-76939066-76939567,Stable,Closing,Closing,23,Ctnna2,-57429,,,,,,,,,,,,,,,,,,,,,,,,,,
15,92293782,92294283,chr15-92293782-92294283,Stable,Closing,Closing,23,Pdzrn4,102598,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55569214,55569715,chr2-55569214-55569715,Stable,Closing,Closing,23,Kcnj3,-133244,,,,,,,,,,,,,,,,,,,,,,,,,,
10,67747292,67747793,chr10-67747292-67747793,Stable,Closing,Closing,23,Egr2,-211817,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146401496,146401997,chr2-146401496-146401997,Stable,Closing,Closing,23,Insm1,-179575,,,,,,,,,,,,,,,,,,,,,,,,,,
12,37634939,37635440,chr12-37634939-37635440,Stable,Closing,Closing,23,Dgkb,182286,,,,,,,,,,,,,,,,,,,,,,,,,,
17,43455026,43455527,chr17-43455026-43455527,Stable,Closing,Closing,23,Pla2g7,112571,,,Slc25a27,186364,,,,,,,,,,,,,,,,,,,,,,
14,57975611,57976112,chr14-57975611-57976112,Stable,Closing,Closing,23,Micu2,-59350,,,,,,,,,,,,,,,,,,,,,,,,,,
10,72995503,72996004,chr10-72995503-72996004,Stable,Stable,Closing,26,Pcdh15,103338,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19999323,19999824,chr14-19999323-19999824,Stable,Closing,Closing,23,Gng2,-126764,,,,,,,,,,,,,,,,,,,,,,,,,,
8,123187934,123188435,chr8-123187934-123188435,Stable,Closing,Closing,23,Spata33,24397,,,Tubb3,222989,,,,,,,,,,,,,,,,,,,,,,
1,65966241,65966742,chr1-65966241-65966742,Stable,Closing,Closing,23,Map2,208531,,,,,,,,,,,,,,,,,,,,,,,,,,
11,46201832,46202333,chr11-46201832-46202333,Stable,Closing,Closing,23,Cyfip2,-7982,,,,,,,,,,,,,,,,,,,,,,,,,,
13,43802139,43802640,chr13-43802139-43802640,Stable,Closing,Closing,23,Rnf182,-186429,,,,,,,,,,,,,,,,,,,,,,,,,,
12,69811961,69812462,chr12-69811961-69812462,Stable,Closing,Closing,23,Atl1,80152,,,,,,,,,,,,,,,,,,,,,,,,,,
4,95791846,95792347,chr4-95791846-95792347,Stable,Closing,Closing,23,Hook1,174893,,,,,,,,,,,,,,,,,,,,,,,,,,
12,69825038,69825539,chr12-69825038-69825539,Stable,Closing,Closing,23,Atl1,67075,,,,,,,,,,,,,,,,,,,,,,,,,,
18,80944483,80944984,chr18-80944483-80944984,Stable,Closing,Closing,23,Sall3,21392,,,,,,,,,,,,,,,,,,,,,,,,,,
5,36554132,36554716,chr5-36554132-36554716,Stable,Closing,Closing,23,Ccdc96,-69544,,,,,,,,,,,,,,,,,,,,,,,,,,
11,55323866,55324367,chr11-55323866-55324367,Stable,Closing,Closing,23,Gm2a,-225751,,,,,,,,,,,,,,,,,,,,,,,,,,
9,54155104,54155605,chr9-54155104-54155605,Stable,Closing,Closing,23,Dmxl2,209553,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17153781,17154282,chr1-17153781-17154282,Stable,Closing,Closing,23,Gdap1,-8419,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90588078,90588579,chr6-90588078-90588579,Stable,Closing,Closing,23,Cfap100,-184599,,,,,,,,,,,,,,,,,,,,,,,,,,
8,114679511,114680012,chr8-114679511-114680012,Stable,Closing,Closing,23,Wwox,-239856,,,,,,,,,,,,,,,,,,,,,,,,,,
7,90553355,90553856,chr7-90553355-90553856,Stable,Closing,Closing,23,Dlg2,-76683,,,Ccdc89,-126778,,,,,,,,,,,,,,,,,,,,,,
15,85179431,85179932,chr15-85179431-85179932,Stable,Closing,Closing,23,Ribc2,-47353,,,,,,,,,,,,,,,,,,,,,,,,,,
1,174617377,174617878,chr1-174617377-174617878,Stable,Closing,Closing,23,Fmn2,-115552,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15014680,15015181,chr16-15014680-15015181,Stable,Closing,Closing,23,Efcab1,-108074,,,,,,,,,,,,,,,,,,,,,,,,,,
5,98455716,98456217,chr5-98455716-98456217,Stable,Closing,Closing,23,Cfap299,-126412,,,,,,,,,,,,,,,,,,,,,,,,,,
10,76121384,76121885,chr10-76121384-76121885,Stable,Closing,Closing,23,S100b,131968,,,Chchd10,-188254,,,,,,,,,,,,,,,,,,,,,,
11,53795911,53796412,chr11-53795911-53796412,Stable,Closing,Closing,23,Kif3a,-228532,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28613614,28614178,chr6-28613614-28614178,Stable,Closing,Closing,23,Lrrc4,47653,,,,,,,,,,,,,,,,,,,,,,,,,,
1,187236453,187237075,chr1-187236453-187237075,Stable,Closing,Closing,23,Spata17,-191805,,,,,,,,,,,,,,,,,,,,,,,,,,
11,82139497,82139998,chr11-82139497-82139998,Stable,Closing,Closing,23,Ccl8,-24312,,,,,,,,,,,,,,,,,,,,,,,,,,
13,57236180,57237379,chr13-57236180-57237379,Stable,Closing,Closing,23,Spock1,183816,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24844157,24844658,chr12-24844157-24844658,Stable,Closing,Closing,23,Mboat2,-13278,,,,,,,,,,,,,,,,,,,,,,,,,,
6,136938573,136939074,chr6-136938573-136939074,Stable,Closing,Closing,23,BC049715,-110947,,,,,,,,,,,,,,,,,,,,,,,,,,
1,174626604,174627231,chr1-174626604-174627231,Stable,Closing,Closing,23,Fmn2,-124779,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27941743,27942244,chr3-27941743-27942244,Stable,Closing,Closing,23,Pld1,-3048,,,,,,,,,,,,,,,,,,,,,,,,,,
