Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,
2,75816618,75817119,chr2-75816618-75817119,Stable,Closing,Closing,23,Agps,15058,,,Hnrnpa3,-157357,,,,
18,58230368,58230869,chr18-58230368-58230869,Stable,Closing,Closing,23,Fbn2,-221745,,,,,,,,
7,114554325,114555296,chr7-114554325-114555296,Stable,Closing,Closing,23,Gm15500,149921,,,,,,,,
4,109647255,109647756,chr4-109647255-109647756,Stable,Closing,Closing,23,Cdkn2c,13120,,,,,,,,
12,16866376,16866877,chr12-16866376-16866877,Stable,Closing,Closing,23,Pqlc3,121771,,,,,,,,
7,112012617,112013118,chr7-112012617-112013118,Stable,Closing,Closing,23,Dkk3,102899,,,Mical2,212738,,,,
7,114710335,114710836,chr7-114710335-114710836,Stable,Closing,Closing,23,Gm15500,-5118,,,,,,,,
9,7550305,7550806,chr9-7550305-7550806,Stable,Closing,Closing,23,Tmem123,213235,,,,,,,,
1,105832780,105833281,chr1-105832780-105833281,Stable,Closing,Closing,23,Tnfrsf11a,-52062,,,,,,,,
18,67556755,67557256,chr18-67556755-67557256,Stable,Closing,Closing,23,Cep192,242851,,,,,,,,
8,8513616,8514117,chr8-8513616-8514117,Stable,Closing,Closing,23,Efnb2,103317,,,,,,,,
11,106846014,106846515,chr11-106846014-106846515,Stable,Closing,Closing,23,Kpna2,142114,,,,,,,,
14,21064213,21064714,chr14-21064213-21064714,Stable,Closing,Closing,23,Vcl,-134815,,,,,,,,
13,47065931,47066432,chr13-47065931-47066432,Stable,Closing,Closing,23,Dek,18343,,,,,,,,
2,18004248,18004749,chr2-18004248-18004749,Stable,Closing,Closing,23,Skida1,35927,,,,,,,,
15,94238028,94238529,chr15-94238028-94238529,Stable,Closing,Closing,23,Adamts20,31634,,,,,,,,
3,158108418,158108919,chr3-158108418-158108919,Stable,Closing,Closing,23,Lrrc40,-71756,,,,,,,,
3,61412820,61413321,chr3-61412820-61413321,Stable,Closing,Closing,23,Rap2b,-51182,,,,,,,,
1,163159944,163160445,chr1-163159944-163160445,Stable,Closing,Closing,23,Prrx1,84674,,,,,,,,
2,23093863,23094364,chr2-23093863-23094364,Stable,Closing,Closing,23,Mastl,21242,,,,,,,,
8,11192815,11193316,chr8-11192815-11193316,Stable,Closing,Closing,23,Col4a1,5107,,,,,,,,
1,40233223,40233724,chr1-40233223-40233724,Stable,Closing,Closing,23,Il1r1,-8143,,,Il1rl2,90886,,,,
1,149712584,149713085,chr1-149712584-149713085,Stable,Closing,Closing,23,Pla2g4a,116533,,,,,,,,
1,150460606,150461107,chr1-150460606-150461107,Stable,Closing,Closing,23,Hmcn1,101417,,,,,,,,
3,109325790,109326291,chr3-109325790-109326291,Stable,Closing,Closing,23,Slc25a24,-202641,,,,,,,,
11,106930359,106930860,chr11-106930359-106930860,Stable,Closing,Closing,23,Kpna2,57769,,,,,,,,
12,70126562,70127063,chr12-70126562-70127063,Stable,Closing,Closing,23,Nin,-115127,,,,,,,,
16,36793537,36794038,chr16-36793537-36794038,Stable,Closing,Closing,23,Polq,217748,,,,,,,,
6,66478263,66478764,chr6-66478263-66478764,Stable,Closing,Closing,23,Mad2l1,56626,,,,,,,,
6,127275061,127275562,chr6-127275061-127275562,Stable,Closing,Closing,23,Ccnd2,-149899,,,,,,,,
4,63929418,63929919,chr4-63929418-63929919,Stable,Closing,Closing,23,Tnc,29866,,,,,,,,
5,86255250,86255751,chr5-86255250-86255751,Stable,Closing,Closing,23,Uba6,-145963,,,,,,,,
1,71752239,71752740,chr1-71752239-71752740,Stable,Closing,Closing,23,Fn1,-166719,,,,,,,,
9,92128380,92128881,chr9-92128380-92128881,Stable,Closing,Closing,23,Plscr1,120869,,,,,,,,
15,8955591,8956092,chr15-8955591-8956092,Stable,Closing,Closing,23,Skp2,155893,,,,,,,,
4,88998232,88998733,chr4-88998232-88998733,Stable,Closing,Closing,23,Mtap,138389,,,,,,,,
4,132014099,132014738,chr4-132014099-132014738,Stable,Closing,Closing,23,Epb41,-90686,,,,,,,,
11,59600815,59601316,chr11-59600815-59601316,Stable,Closing,Closing,23,Mprip,59989,,,Zkscan17,-115295,,,,
17,69255804,69256305,chr17-69255804-69256305,Stable,Closing,Closing,23,Epb41l3,-180121,,,,,,,,
1,150027176,150027677,chr1-150027176-150027677,Stable,Closing,Closing,23,Pla2g4a,-197558,,,,,,,,
14,57975611,57976112,chr14-57975611-57976112,Stable,Closing,Closing,23,Zdhhc20,-142908,,,Ska3,-169050,,,,
8,123187934,123188435,chr8-123187934-123188435,Stable,Closing,Closing,23,Spg7,-124992,,,,,,,,
11,34895525,34896026,chr11-34895525-34896026,Stable,Closing,Closing,23,Spdl1,-86335,,,,,,,,
17,67682471,67682972,chr17-67682471-67682972,Stable,Closing,Closing,23,Arhgap28,159741,,,,,,,,
8,8586834,8587335,chr8-8586834-8587335,Stable,Closing,Closing,23,Efnb2,30099,,,,,,,,
13,43802139,43802640,chr13-43802139-43802640,Stable,Closing,Closing,23,Cd83,-17364,,,,,,,,
12,69811961,69812462,chr12-69811961-69812462,Stable,Closing,Closing,23,Nin,198973,,,,,,,,
6,33042849,33043350,chr6-33042849-33043350,Stable,Closing,Closing,23,Exoc4,205735,,,,,,,,
9,123137183,123137684,chr9-123137183-123137684,Stable,Closing,Closing,23,Kif15,-186137,,,,,,,,
12,69825038,69825539,chr12-69825038-69825539,Stable,Closing,Closing,23,Nin,185896,,,,,,,,
4,129954925,129955426,chr4-129954925-129955426,Stable,Closing,Closing,23,Ptp4a2,-143706,,,,,,,,
14,20246879,20247380,chr14-20246879-20247380,Stable,Closing,Closing,23,Dnajc9,137258,,,,,,,,
15,6635300,6635801,chr15-6635300-6635801,Stable,Closing,Closing,23,Rictor,72578,,,,,,,,
1,169526227,169526728,chr1-169526227-169526728,Stable,Closing,Closing,23,Nuf2,-28293,,,,,,,,
12,24844157,24844658,chr12-24844157-24844658,Stable,Closing,Closing,23,Kidins220,130267,,,Rrm2,-135916,,,,
2,110668294,110668872,chr2-110668294-110668872,Stable,Closing,Closing,23,Ano3,-13093,,,,,,,,
13,6666824,6667325,chr13-6666824-6667325,Stable,Closing,Closing,23,Pitrm1,-118675,,,,,,,,
14,67544737,67545238,chr14-67544737-67545238,Stable,Closing,Closing,23,Cdca2,131093,,,Kctd9,170699,,,,
3,141483690,141484191,chr3-141483690-141484191,Stable,Closing,Closing,23,Unc5c,-18474,,,,,,,,
4,124829687,124830188,chr4-124829687-124830188,Stable,Closing,Closing,23,Cdca8,88277,,,,,,,,
13,6492952,6493453,chr13-6492952-6493453,Stable,Closing,Closing,23,Pitrm1,54696,,,,,,,,
11,102883309,102883810,chr11-102883309-102883810,Stable,Stable,Closing,26,Gjc1,-83730,,,,,,,,
2,137019869,137020370,chr2-137019869-137020370,Stable,Closing,Closing,23,Jag1,61086,,,,,,,,
14,67955179,67955680,chr14-67955179-67955680,Stable,Closing,Closing,23,Kctd9,-239242,,,,,,,,
16,56521688,56522189,chr16-56521688-56522189,Stable,Closing,Closing,23,Abi3bp,-43810,,,,,,,,
7,114456372,114456873,chr7-114456372-114456873,Stable,Closing,Closing,23,Gm15500,248344,,,,,,,,
18,74354972,74355473,chr18-74354972-74355473,Stable,Closing,Closing,23,Ska1,-159673,,,,,,,,
10,68491503,68492004,chr10-68491503-68492004,Stable,Closing,Closing,23,Tmem26,231642,,,,,,,,
4,28991053,28991554,chr4-28991053-28991554,Stable,Closing,Closing,23,Epha7,-177922,,,,,,,,
4,98847019,98847520,chr4-98847019-98847520,Stable,Closing,Closing,23,Usp1,76290,,,,,,,,
15,94238584,94239611,chr15-94238584-94239611,Stable,Closing,Closing,23,Adamts20,30552,,,,,,,,
9,91424904,91425405,chr9-91424904-91425405,Stable,Stable,Closing,26,Zic1,-66846,,,,,,,,
1,189576401,189576902,chr1-189576401-189576902,Stable,Closing,Closing,23,Cenpf,63704,,,,,,,,
2,84402724,84403225,chr2-84402724-84403225,Stable,Closing,Closing,23,Tfpi,29630,,,Calcrl,-72098,,,,
9,92017509,92018010,chr9-92017509-92018010,Stable,Closing,Closing,23,Plscr1,231740,,,,,,,,
1,169685081,169685582,chr1-169685081-169685582,Stable,Closing,Closing,23,Nuf2,-187147,,,,,,,,
10,4061439,4061940,chr10-4061439-4061940,Stable,Closing,Closing,23,Akap12,204440,,,,,,,,
4,28783824,28784325,chr4-28783824-28784325,Stable,Closing,Closing,23,Epha7,28806,,,,,,,,
4,89177864,89178365,chr4-89177864-89178365,Stable,Closing,Closing,23,Mtap,-40742,,,,,,,,
5,100622643,100623144,chr5-100622643-100623144,Stable,Closing,Closing,23,Plac8,-68918,,,Lin54,-180725,,,,
1,62976707,62977208,chr1-62976707-62977208,Stable,Closing,Closing,23,Eef1b2,199617,,,,,,,,
8,57383827,57384328,chr8-57383827-57384328,Stable,Closing,Closing,23,Hmgb2,127579,,,,,,,,
7,75268489,75268990,chr7-75268489-75268990,Stable,Closing,Closing,23,Akap13,186544,,,,,,,,
2,144274763,144275264,chr2-144274763-144275264,Stable,Closing,Closing,23,Snx5,-24640,,,,,,,,
2,128083641,128084142,chr2-128083641-128084142,Stable,Closing,Closing,23,Bcl2l11,41896,,,,,,,,
1,149725065,149725566,chr1-149725065-149725566,Stable,Closing,Closing,23,Pla2g4a,104052,,,,,,,,
12,85273387,85273888,chr12-85273387-85273888,Stable,Closing,Closing,23,Dlst,-162554,,,,,,,,
7,112353117,112353618,chr7-112353117-112353618,Stable,Closing,Closing,23,Mical2,-127261,,,Dkk3,-237100,,,,
2,131401966,131402467,chr2-131401966-131402467,Stable,Closing,Closing,23,Cdc25b,-215017,,,,,,,,
4,89022430,89022931,chr4-89022430-89022931,Stable,Closing,Closing,23,Mtap,114191,,,,,,,,
16,87915124,87915625,chr16-87915124-87915625,Stable,Closing,Closing,23,Bach1,-216179,,,,,,,,
16,72240450,72241082,chr16-72240450-72241082,Stable,Closing,Closing,23,Robo1,67224,,,,,,,,
6,33347362,33347863,chr6-33347362-33347863,Stable,Closing,Closing,23,Exoc4,-98277,,,,,,,,
17,71355517,71356018,chr17-71355517-71356018,Stable,Closing,Closing,23,Ndc80,140082,,,,,,,,
