Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene
3,117801880,117802381,chr3-117801880-117802381,Stable,Closing,Closing,23,Snx7,-20233,,,,,,
7,78243819,78244320,chr7-78243819-78244320,Stable,Closing,Closing,23,Ntrk3,-67860,,,,,,
3,117819419,117819920,chr3-117819419-117819920,Stable,Closing,Closing,23,Snx7,-37772,,,,,,
1,189576411,189576912,chr1-189576411-189576912,Stable,Closing,Closing,23,Ptpn14,151356,,,,,,
1,165693820,165694321,chr1-165693820-165694321,Stable,Closing,Closing,23,Creg1,69425,,,,,,
1,65966218,65966719,chr1-65966218-65966719,Stable,Closing,Closing,23,Gm8812,96246,,,,,,
3,97776198,97776699,chr3-97776198-97776699,Stable,Closing,Closing,23,Pde4dip,-86374,,,,,,
9,41755128,41755629,chr9-41755128-41755629,Stable,Stable,Closing,26,Sorl1,209091,,,,,,
17,71961266,71961767,chr17-71961266-71961767,Stable,Stable,Closing,26,Clip4,-192793,,,,,,
8,90862016,90862517,chr8-90862016-90862517,Stable,Closing,Closing,23,Gm19935,-45871,,,,,,
6,66478235,66478736,chr6-66478235-66478736,Stable,Stable,Closing,26,Gm31520,-214080,,,,,,
8,75281826,75282327,chr8-75281826-75282327,Stable,Closing,Closing,23,Tom1,-248121,,,,,,
3,60976771,60977272,chr3-60976771-60977272,Stable,Closing,Closing,23,P2ry1,25523,,,,,,
5,147063389,147063890,chr5-147063389-147063890,Stable,Closing,Closing,23,Rasl11a,-218318,,,,,,
17,71919270,71919771,chr17-71919270-71919771,Stable,Closing,Closing,23,Clip4,-150797,,,Togaram2,-246009,,
1,162217378,162217879,chr1-162217378-162217879,Stable,Stable,Closing,26,Pigc,-248192,,,,,,
6,112267750,112268251,chr6-112267750-112268251,Stable,Stable,Closing,26,Oxtr,205432,,,,,,
7,38111912,38112413,chr7-38111912-38112413,Stable,Closing,Closing,23,1600014C10Rik,70804,,,Plekhf1,104559,,
18,12026095,12026596,chr18-12026095-12026596,Stable,Stable,Closing,26,Ankrd29,225766,,,,,,
6,12827646,12828147,chr6-12827646-12828147,Stable,Stable,Closing,26,Gm5300,227448,,,Tmem106b,241612,,
1,75693120,75693621,chr1-75693120-75693621,Stable,Closing,Closing,23,Chpf,-218551,,,,,,
7,110944324,110944825,chr7-110944324-110944825,Stable,Closing,Closing,23,Ampd3,-176118,,,,,,
12,35255590,35256348,chr12-35255590-35256348,Stable,Stable,Closing,26,Snx13,-208404,,,,,,
4,116212784,116213285,chr4-116212784-116213285,Stable,Stable,Closing,26,Faah,-245639,,,,,,
14,101816005,101816675,chr14-101816005-101816675,Stable,Stable,Closing,26,Lmo7,-86048,,,,,,
6,12977400,12977901,chr6-12977400-12977901,Stable,Stable,Closing,26,Gm5300,77694,,,Tmem106b,91858,,
7,131053200,131053701,chr7-131053200-131053701,Stable,Closing,Closing,23,Htra1,-117089,,,,,,
4,53308118,53308619,chr4-53308118-53308619,Stable,Stable,Closing,26,Slc44a1,131794,,,,,,
18,59247685,59248186,chr18-59247685-59248186,Stable,Closing,Closing,23,Chsy3,-72284,,,,,,
7,105777788,105778621,chr7-105777788-105778621,Stable,Closing,Closing,23,Smpd1,-223428,,,,,,
6,12809506,12810007,chr6-12809506-12810007,Stable,Stable,Closing,26,Gm5300,245588,,,,,,
10,77240570,77241071,chr10-77240570-77241071,Stable,Stable,Closing,26,Col18a1,-188392,,,,,,
7,5112760,5113261,chr7-5112760-5113261,Stable,Closing,Closing,23,Nat14,-190732,,,,,,
2,145881256,145881757,chr2-145881256-145881757,Stable,Closing,Closing,23,Rin2,-206041,,,,,,
7,105513863,105514487,chr7-105513863-105514487,Stable,Closing,Closing,23,Cavin3,-33780,,,Smpd1,39873,,
4,53307241,53307742,chr4-53307241-53307742,Stable,Stable,Closing,26,Slc44a1,132671,,,,,,
7,65955250,65955751,chr7-65955250-65955751,Stable,Stable,Closing,26,Selenos,123898,,,,,,
6,5288016,5288517,chr6-5288016-5288517,Stable,Stable,Closing,26,Pdk4,194834,,,,,,
19,5071815,5072316,chr19-5071815-5072316,Stable,Stable,Closing,26,Ctsf,-216685,,,,,,
1,34016708,34017209,chr1-34016708-34017209,Stable,Stable,Closing,26,Dst,-108483,,,,,,
19,40238166,40238820,chr19-40238166-40238820,Stable,Stable,Closing,26,Sorbs1,55933,,,,,,
7,78085865,78086590,chr7-78085865-78086590,Stable,Stable,Closing,26,Ntrk3,89369,,,,,,
6,82987383,82987884,chr6-82987383-82987884,Stable,Stable,Closing,26,1700003E16Rik,168520,,,,,,
16,38644320,38644821,chr16-38644320-38644821,Stable,Stable,Closing,26,Upk1b,128363,,,,,,
5,103370416,103370917,chr5-103370416-103370917,Stable,Closing,Closing,23,Slc10a6,234794,,,,,,
19,57103255,57103756,chr19-57103255-57103756,Stable,Stable,Closing,26,Afap1l2,-190894,,,,,,
3,27941707,27942208,chr3-27941707-27942208,Stable,Stable,Closing,26,Pld1,-3012,,,,,,
16,34935800,34936301,chr16-34935800-34936301,Stable,Stable,Closing,26,Hacd2,86127,,,,,,
3,82063227,82063728,chr3-82063227-82063728,Stable,Stable,Closing,26,Ctso,-130626,,,,,,
8,25070402,25071309,chr8-25070402-25071309,Stable,Stable,Closing,26,Tacc1,83243,,,,,,
4,141108119,141108620,chr4-141108119-141108620,Stable,Stable,Closing,26,Necap2,-41607,,,,,,
4,53316115,53316616,chr4-53316115-53316616,Stable,Stable,Closing,26,Slc44a1,123797,,,,,,
14,23522524,23523025,chr14-23522524-23523025,Stable,Stable,Closing,26,Kcnma1,-233093,,,,,,
2,158109371,158109872,chr2-158109371-158109872,Stable,Closing,Closing,23,Lbp,196621,,,,,,
9,79439498,79439999,chr9-79439498-79439999,Stable,Stable,Closing,26,Col12a1,158992,,,,,,
3,126359715,126360216,chr3-126359715-126360216,Stable,Stable,Closing,26,Camk2d,236086,,,,,,
4,139175360,139176415,chr4-139175360-139176415,Stable,Closing,Closing,23,Capzb,16484,,,,,,
11,61484678,61485377,chr11-61484678-61485377,Stable,Stable,Closing,26,Epn2,31872,,,,,,
14,51778895,51779396,chr14-51778895-51779396,Stable,Stable,Closing,26,Ndrg2,125875,,,,,,
9,41766430,41766931,chr9-41766430-41766931,Stable,Stable,Closing,26,Sorl1,197789,,,,,,
13,63096688,63097189,chr13-63096688-63097189,Stable,Closing,Closing,23,Aopep,-131795,,,,,,
1,155229621,155230293,chr1-155229621-155230293,Stable,Stable,Closing,26,Xpr1,45408,,,,,,
11,121794532,121795033,chr11-121794532-121795033,Stable,Closing,Closing,23,Metrnl,-92988,,,,,,
6,97568403,97568904,chr6-97568403-97568904,Stable,Stable,Closing,26,Mitf,238148,,,,,,
9,41860368,41861092,chr9-41860368-41861092,Stable,Stable,Closing,26,Sorl1,103628,,,,,,
17,26451803,26452304,chr17-26451803-26452304,Stable,Closing,Closing,23,Atp6v0e,210927,,,,,,
11,115473615,115474116,chr11-115473615-115474116,Stable,Closing,Closing,23,Slc25a19,140062,,,,,,
6,5277800,5278301,chr6-5277800-5278301,Stable,Closing,Closing,23,Pdk4,205050,,,,,,
19,57098336,57098994,chr19-57098336-57098994,Stable,Stable,Closing,26,Afap1l2,-185975,,,,,,
8,124652483,124652984,chr8-124652483-124652984,Stable,Closing,Closing,23,Agt,-95949,,,,,,
8,11405731,11406232,chr8-11405731-11406232,Stable,Stable,Closing,26,Rab20,47286,,,,,,
8,25343069,25343760,chr8-25343069-25343760,Stable,Stable,Closing,26,Fgfr1,169894,,,Tacc1,-188517,,
13,23555965,23556466,chr13-23555965-23556466,Stable,Stable,Closing,26,Hist1h2bc,127733,,,Hfe,145568,Hist1h1c,182342
7,4863091,4863592,chr7-4863091-4863592,Stable,Closing,Closing,23,Nat14,58436,,,,,,
3,61011760,61012261,chr3-61011760-61012261,Stable,Stable,Closing,26,P2ry1,-8965,,,,,,
5,147620076,147620577,chr5-147620076-147620577,Stable,Stable,Closing,26,Flt1,-58472,,,,,,
5,104110303,104110804,chr5-104110303-104110804,Stable,Stable,Closing,26,Nudt9,-63997,,,Dmp1,91809,Hsd17b11,-120541
7,89720365,89721003,chr7-89720365-89721003,Stable,Stable,Closing,26,Prss23,-212582,,,,,,
14,7900570,7901071,chr14-7900570-7901071,Stable,Closing,Closing,23,Pxk,197140,,,,,,
9,41890386,41891259,chr9-41890386-41891259,Stable,Stable,Closing,26,Sorl1,73461,,,,,,
9,48604944,48605521,chr9-48604944-48605521,Stable,Stable,Closing,26,Zbtb16,48776,,,,,,
6,91617005,91617506,chr6-91617005-91617506,Stable,Stable,Closing,26,Slc6a6,66547,,,,,,
11,55023028,55023529,chr11-55023028-55023529,Stable,Stable,Closing,26,Gm2a,74586,,,,,,
7,142440502,142441003,chr7-142440502-142441003,Stable,Stable,Closing,26,Ctsd,-64591,,,Ifitm10,-114665,Igf2,209763
7,139950071,139950930,chr7-139950071-139950930,Stable,Stable,Closing,26,Fuom,145840,,,,,,
1,178463633,178464134,chr1-178463633-178464134,Stable,Stable,Closing,26,Kif26b,64991,,,,,,
11,105749284,105749785,chr11-105749284-105749785,Stable,Stable,Closing,26,Ace,218160,,,,,,
3,97666850,97667542,chr3-97666850-97667542,Stable,Stable,Closing,26,Pde4dip,22282,,,,,,
7,58730105,58730771,chr7-58730105-58730771,Stable,Stable,Closing,26,Atp10a,-73939,,,,,,
15,81879912,81880413,chr15-81879912-81880413,Stable,Stable,Closing,26,Tob2,-31640,,,,,,
8,11411713,11412656,chr8-11411713-11412656,Stable,Stable,Closing,26,Rab20,40862,,,,,,
3,141936530,141937031,chr3-141936530-141937031,Closing,Stable,Closing,17,Bmpr1b,-99394,,,,,,
5,129415210,129415711,chr5-129415210-129415711,Stable,Stable,Closing,26,Mmp17,168458,,,,,,
7,100932285,100932937,chr7-100932285-100932937,Stable,Stable,Closing,26,Arhgef17,-62533,,,,,,
9,108587557,108588263,chr9-108587557-108588263,Stable,Closing,Closing,23,Dalrd3,-17671,,,,,,
7,140955792,140956460,chr7-140955792-140956460,Stable,Stable,Closing,26,Ric8a,-98835,,,,,,
7,66218107,66218780,chr7-66218107-66218780,Stable,Stable,Closing,26,Selenos,-138458,,,,,,
1,164307131,164307854,chr1-164307131-164307854,Stable,Stable,Closing,26,Atp1b1,129255,,,,,,
2,164070794,164071295,chr2-164070794-164071295,Stable,Stable,Closing,26,Ccn5,-249933,,,,,,
11,70029023,70029751,chr11-70029023-70029751,Stable,Stable,Closing,26,Rnasek,208373,,,,,,
8,94036863,94037364,chr8-94036863-94037364,Stable,Stable,Closing,26,Mt3,115243,,,Mt2,135300,Mt1,141718
17,35813076,35813577,chr17-35813076-35813577,Stable,Stable,Opening,25,Ddr1,-131509,,,,,,
11,117941742,117942243,chr11-117941742-117942243,Stable,Stable,Opening,25,Pgs1,44049,,,,,,
7,130964660,130965161,chr7-130964660-130965161,Stable,Stable,Opening,25,Htra1,-28549,,,,,,
16,30188955,30189456,chr16-30188955-30189456,Stable,Stable,Opening,25,Atp13a3,122967,,,,,,
4,149979705,149980206,chr4-149979705-149980206,Stable,Stable,Opening,25,Slc25a33,-235669,,,,,,
4,119932724,119933225,chr4-119932724-119933225,Stable,Stable,Opening,25,Hivep3,-198940,,,,,,
2,180214604,180215494,chr2-180214604-180215494,Stable,Stable,Opening,25,Lama5,-38231,,,,,,
8,25274246,25275464,chr8-25274246-25275464,Stable,Stable,Opening,25,Tacc1,-119694,,,Fgfr1,238190,,
17,35699808,35700309,chr17-35699808-35700309,Stable,Stable,Opening,25,Ddr1,-18241,,,Cdsn,-147680,,
5,35673026,35673527,chr5-35673026-35673527,Stable,Stable,Opening,25,Htra3,-21003,,,,,,
13,63154837,63155338,chr13-63154837-63155338,Stable,Stable,Opening,25,Aopep,-189944,,,,,,
9,48835924,48836862,chr9-48835924-48836862,Opening,Stable,Opening,7,Zbtb16,-181627,,,,,,
1,82586761,82587262,chr1-82586761-82587262,Stable,Stable,Opening,25,Col4a4,-138338,,,,,,
2,32914783,32915284,chr2-32914783-32915284,Stable,Stable,Opening,25,Rpl12,46275,,,Cfap157,-137402,,
4,139226525,139227026,chr4-139226525-139227026,Stable,Stable,Opening,25,Capzb,-33626,,,,,,
8,94787649,94788549,chr8-94787649-94788549,Stable,Stable,Opening,25,Cx3cl1,-15640,,,,,,
16,4647541,4648117,chr16-4647541-4648117,Stable,Stable,Opening,25,Vasn,-7600,,,,,,
1,155051251,155052453,chr1-155051251-155052453,Stable,Stable,Opening,25,Xpr1,223248,,,,,,
6,146959901,146960402,chr6-146959901-146960402,Stable,Stable,Opening,25,Ppfibp1,-71414,,,,,,
19,22905023,22905524,chr19-22905023-22905524,Stable,Stable,Opening,25,Klf9,235702,,,,,,
9,43984195,43984881,chr9-43984195-43984881,Stable,Stable,Opening,25,Usp2,82140,,,C1qtnf5,122364,,
16,95945528,95946029,chr16-95945528-95946029,Stable,Stable,Opening,25,Ets2,-243453,,,,,,
15,99343429,99343930,chr15-99343429-99343930,Stable,Stable,Opening,25,Tmbim6,48952,,,,,,
8,124340342,124340843,chr8-124340342-124340843,Stable,Stable,Opening,25,Agt,215691,,,,,,
2,168518288,168518789,chr2-168518288-168518789,Stable,Stable,Opening,25,Atp9a,115649,,,,,,
10,60355185,60355686,chr10-60355185-60355686,Stable,Stable,Opening,25,Psap,-77558,,,,,,
5,139409320,139409821,chr5-139409320-139409821,Stable,Stable,Opening,25,Gpr146,-31623,,,,,,
2,160785958,160787046,chr2-160785958-160787046,Stable,Stable,Opening,25,Zhx3,-37250,,,Lpin3,93624,,
6,71991294,71991969,chr6-71991294-71991969,Stable,Stable,Opening,25,St3gal5,105623,,,,,,
17,47507903,47508404,chr17-47507903-47508404,Stable,Stable,Opening,25,Ccnd3,-2852,,,,,,
1,62721762,62722263,chr1-62721762-62722263,Stable,Stable,Opening,25,Nrp2,-18477,,,,,,
11,116621218,116621719,chr11-116621218-116621719,Stable,Stable,Opening,25,Mxra7,181343,,,Mfsd11,230721,,
4,149822130,149822800,chr4-149822130-149822800,Stable,Stable,Opening,25,Slc25a33,-78094,,,Clstn1,-235662,,
10,60046734,60047235,chr10-60046734-60047235,Stable,Stable,Opening,25,Anapc16,-59325,,,Psap,230392,,
5,115573023,115573524,chr5-115573023-115573524,Stable,Stable,Opening,25,Bicdl1,74651,,,,,,
19,23056489,23057719,chr19-23056489-23057719,Opening,Stable,Opening,7,Klf9,83507,,,,,,
4,141076077,141076578,chr4-141076077-141076578,Stable,Stable,Opening,25,Necap2,-9565,,,,,,
11,70193388,70194303,chr11-70193388-70194303,Stable,Stable,Opening,25,Rnasek,43821,,,,,,
1,134082847,134083348,chr1-134082847-134083348,Stable,Stable,Opening,25,Adora1,115875,,,Prelp,-172543,,
17,35556860,35557756,chr17-35556860-35557756,Stable,Stable,Opening,25,Cdsn,-4732,,,Ddr1,123811,,
9,108796495,108797161,chr9-108796495-108797161,Stable,Stable,Opening,25,Dalrd3,-226609,,,,,,
8,13538825,13539326,chr8-13538825-13539326,Stable,Stable,Opening,25,Gas6,-73451,,,,,,
8,124317080,124317581,chr8-124317080-124317581,Stable,Stable,Opening,25,Agt,238953,,,,,,
6,120145378,120145879,chr6-120145378-120145879,Stable,Stable,Opening,25,Wnk1,-221409,,,,,,
2,168458565,168459066,chr2-168458565-168459066,Stable,Opening,Opening,19,Atp9a,175372,,,,,,
4,139209083,139209584,chr4-139209083-139209584,Stable,Stable,Opening,25,Capzb,-16184,,,,,,
15,25915037,25915772,chr15-25915037-25915772,Stable,Stable,Opening,25,Retreg1,-71857,,,,,,
17,26611191,26611692,chr17-26611191-26611692,Stable,Stable,Opening,25,Atp6v0e,51539,,,Crebrf,103958,,
9,46052977,46053478,chr9-46052977-46053478,Stable,Stable,Opening,25,Sidt2,-115120,,,,,,
1,134651259,134652010,chr1-134651259-134652010,Stable,Stable,Opening,25,Adipor1,-235881,,,Cyb5r1,-245700,,
7,141540517,141541018,chr7-141540517-141541018,Stable,Stable,Opening,25,Tspan4,-65277,,,,,,
12,113011922,113012423,chr12-113011922-113012423,Stable,Stable,Opening,25,Clba1,-202985,,,,,,
7,105498779,105499280,chr7-105498779-105499280,Stable,Stable,Opening,25,Cavin3,-18696,,,Smpd1,55080,,
12,81033639,81034140,chr12-81033639-81034140,Stable,Stable,Opening,25,Susd6,-243129,,,,,,
8,11249646,11250147,chr8-11249646-11250147,Stable,Stable,Opening,25,Rab20,203371,,,,,,
12,76593740,76594241,chr12-76593740-76594241,Stable,Stable,Opening,25,Hspa2,-189564,,,,,,
7,142430264,142430765,chr7-142430264-142430765,Stable,Stable,Opening,25,Ctsd,-54353,,,Ifitm10,-104427,Igf2,220001
5,122653720,122654407,chr5-122653720-122654407,Stable,Stable,Opening,25,P2rx4,53137,,,,,,
12,102593694,102594195,chr12-102593694-102594195,Stable,Stable,Opening,25,Lgmn,-199610,,,,,,
3,146307324,146307825,chr3-146307324-146307825,Stable,Stable,Opening,25,Ctbs,141970,,,,,,
2,27331520,27332021,chr2-27331520-27332021,Stable,Stable,Opening,25,Vav2,-69416,,,,,,
9,50885143,50885644,chr9-50885143-50885644,Stable,Stable,Opening,25,Cryab,-133818,,,,,,
14,8099617,8100118,chr14-8099617-8100118,Stable,Stable,Opening,25,Pxk,-1406,,,Fam107a,196156,,
19,44900312,44900813,chr19-44900312-44900813,Stable,Stable,Opening,25,Sfxn3,146690,,,,,,
7,58800837,58801338,chr7-58800837-58801338,Stable,Opening,Opening,19,Atp10a,-144671,,,,,,
1,36309481,36309982,chr1-36309481-36309982,Stable,Stable,Opening,25,Kansl3,25748,,,,,,
